"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"PININFARINA";"Automotive";"291000";"";"Piemonte";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"76";"0";"12";"11";"11";"No";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8664";"127168";"220599";"";"";"3214333";"";"16830";"";"";"940274891774892";"";"No";"No";"No";"364";"98";"40";"4";"76";"";"1228";"5539";"3233";"58";"0";"1";"9";"158.pdf";"Pininfarina.Dichiarazione-Non-Finanziaria_2022.pdf"
"PIOVAN SPA";"Machine and Plant";"289600";"";"Veneto";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"144";"4";"10";"22";"3";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"Si";"Si";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK ";"2645";"4860";"5388";"";"";"80629";"";"";"59300";"10957";"714689578713969";"656";"Si";"No";"No";"1502";"302";"29";"731707317073171";"";"";"131374722838137";"534368070953437";"334257206208426";"";"0";"14";"86";"159.pdf";"Piovan.Bilancio-di-Sostenibilita-2022.pdf"
"PIQUADRO";"Manufacturing";"151209";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"101";"7";"10";"15";"4";"No";"No";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK ";"401";"1148";"1383";"";"";"22334";"";"";"";"217960016";"282194417709336";"657";"No";"No";"No";"248";"791";"43";"11";"";"";"195380173243503";"588065447545717";"21655437921078";"";"0";"43";"57";"160.pdf";"Piquadro_bilancio_di_sostenibilit_al_31_marzo_2023.pdf"
"PIRELLI";"Manufacturing";"221110";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"263";"44";"66";"83";"1";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact; SASB; IR Framework; ISO 26000; AA1000; TCFD";"UN Global Compact; SASB; IR Framework; ISO 26000; AA1000; TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"179399";"533086";"368733";"";"397523";"10480043";"";"6253654";"2072508";"122888972";"345426024727645";"";"Si";"No";"No";"26698";"4603";"20";"122";"";"39";"22";"64";"14";"57";"0";"27";"73";"161.pdf";"PIRELLI.ANNUAL REPORT.DNF.pdf"
"POSTE ITALIANE";"Utilities";"531000";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"250";"11";"26";"69";"5";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact; IR Framework; SASB; TCFD";"UN Global Compact; IR Framework; SASB; TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"152703";"139206";"2860";"";"257796";"3915250";"";"1585905";"";"4105591547";"24354231042517";"2991";"Si";"No";"No";"56765";"64269";"444";"245949926362298";"";"";"959708757115828";"481889815174374";"422139309114043";"";"0";"0";"100";"162.pdf";"PosteItaliane.Relazione-sulla-Gestione-DNF.pdf"
"PRIMA INDUSTRIE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"PRYSMIAN";"Manufacturing";"467220";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"230";"7";"20";"26";"8";"Si";"Si";"No";"No";"Si (2019-2022)";"No";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact; SASB; TCFD";"UN Global Compact; SASB; TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"297725";"501745";"367379";"";"269684778";"9971915";"";"7761474";"7761474";"258388069888";"386565843962233";"8089";"Si";"Si";"Si";"24376";"5809";"4167";"157";"";"";"";"";"";"5825";"0";"0";"100";"163.pdf";"Prysmian.bil-sost-2022-ita.pdf"
"RAI";"Media and Publishing";"602000";"";"Lazio";"Si";"Altro-EIPR-obbligato";"DNF";"Report-separato";"282";"9";"26";"46";"3";"No";"No";"Si";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"18787";"53238";"954";"";"";"974860";"";"";"";"181804205";"58472077557888";"";"Si";"No";"No";"6943";"5538";"43";"306";"9438";"";"412";"3787";"5801";"";"0";"43";"57";"166.pdf";"Rai_Bilancio Sostenibilit_DNF_2022.pdf"
"RAI WAY";"Telecommunications";"432101";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"150";"5";"16";"40";"5";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK ";"182473";"1990995";"0";"";"36633";"28080826";"";"3490";"";"34931363594";"372169178082192";"258030797882403";"Si";"No";"No";"484";"100";"56";"20";"96";"";"667808219178082";"422945205479452";"51027397260274";"";"0";"0";"100";"165.pdf";"RaiWay.Dichiarazione-di-carattere-non-finanziario.pdf"
"RATTI";"Textile";"133000";"";"Lombardia";"Si";"Societa-azioni-quotate";"Bilancio-di-sostenibilita";"Report-separato";"153";"4";"28";"42";"7";"Si";"No";"No";"No";"Si (2020-2022)";"Si";"No";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"6640";"2314";"113";"";"";"144478";"";"357508";"47648";"";"126988795518207";"6025";"Si";"No";"No";"252";"462";"40";"375";"9584";"";"2296918767507";"449579831932773";"320728291316527";"";"0";"10";"90";"168.pdf";"Ratti-SpA-SB-Bilancio-di-Sostenibilita-2022.pdf"
"RCS MEDIAGROUP";"Media and Publishing";"580000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"125";"7";"11";"39";"8";"Si";"Si";"Si";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"2142";"13963";"19339";"";"6167";"102427";"";"128600";"";"2285587388";"120886766712142";"591980259099321";"Si";"No";"No";"1637";"1295";"416666666666667";"236842105263158";"";"";"306957708049113";"486016371077763";"483287858117326";"575833333333333";"0";"833333333333333";"916666666666667";"169.pdf";"RCS MediaGroup.DNF-al-31-dicembre-2022.pdf"
"REALE GROUP";"Financial Services";"651000";"";"Piemonte";"Si";"Servizi-Finanziari";"Bilancio-integrato ";"Incluso-nella-Relazione-sulla-Gestione";"150";"15";"15";"33";"5";"Si";"Si";"No";"No";"Si (2021-2022)";"Si ";"No ";"Si ";"Si ";"No";"Si";"In accordance with";"UN Global Compact; SASB; IR Framework; TCFD";"UN Global Compact; SASB; IR Framework; TCFD";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"9362";"2402";"83";"";"270528";"32834";"";"";"18136";"4111621";"852954375467464";"";"Si";"No";"No";"2091";"1920";"125";"162337662337662";"8856";"";"663176265270506";"56295188232361";"370730491149339";"";"0";"0";"100";"170.pdf";"Reale Group.Bilancio Consolidato Integrato 2022.pdf"
"RECORDATI";"Healthcare and Pharma";"212000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"102";"6";"12";"31";"2";"Si";"Si";"Si";"Si ";"Si (2021-2022)";"Si";"Si";"Si";"Si";"No";"Si";"In accordance with";"SASB";"SASB";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"37768";"10002";"2270";"";"";"621000";"";"2550000";"";"666380257";"114534218356603";"55";"Si";"No";"No";"2256";"2113";"42";"731707317073171";"9809";"";"8";"62";"30";"";"0";"25";"75";"171.pdf";"Recordati.Dichiarazione-consolidata-di-carattere-non-finanziario-dnf-2022.pdf"
"RENANTIS (ex FALK RENEWABLES SPA)";"Utilities";"701000";"";"Lombardia";"No";"Societa-azioni-quotate";"DNF";"Report-separato";"111";"3";"13";"17";"6";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"No";"No";"No";"No";"Si";"With reference to";"TCFD";"TCFD";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"155957";"17918";"6448";"";"";"29880252";"";"734764";"";"";"21035";"";"Si";"Si";"Si";"517";"236";"50";"36";"90";"";"174";"6441";"1872";"";"0";"40";"60";"https:__renantis.com_our-impact_#_";"https://renantis.com/our-impact/#_"
"RENO DE MEDICI - RDM";"Manufacturing";"464000";"";"Lombardia";"No";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"71";"3";"9";"10";"2";"Si";"Si";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"492342";"40588";"51806";"";"";"92713356";"";"17038000";"";"237787289";"288047290640394";"759380097879282";"Si";"No";"No";"1812";"218";"285714285714286";"260869565217391";"";"";"100985221674877";"450246305418719";"448768472906404";"";"142857142857143";"428571428571429";"428571428571429";"175.pdf";"Reno De Medici.Sustainability-Report-2022.pdf"
"REPLY";"Services";"620100";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"112";"6";"17";"31";"3";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"5400";"4757";"2738";"";"7578";"153848";"";"";"89783";"";"993987512526016";"";"Si";"No";"No";"9210";"3763";"444444444444444";"1172";"94";"";"413";"5120303708";"75";"";"0";"0";"100";"176.pdf";"REPLY.Fascicolo_DNF_ITA_2022.pdf"
"RETELIT SPA";"Electronics";"611000";"";"Lombardia";"No";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"72";"4";"10";"14";"2";"Si";"Si ";"Si";"No";"Si (2020-2022)";"Si";"Si";"Si";"Si";"No";"Si";"With reference to";"UN Global Compact";"UN Global Compact";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"20255";"42051";"72556";"";"396339";"6468407";"";"";"";"19918765";"217169082125604";"443";"Si";"No";"No";"449";"172";"33";"14";"";"43";"115942028985507";"607085346215781";"276972624798712";"44";"0";"666666666666667";"333333333333333";"178.pdf";"Retelit.Bilancio-Sostenibilita-2022.pdf"
"SABAF";"Manufacturing";"281400";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"88";"8";"7";"22";"13";"Si";"Si";"No";"No";"Si (2020-2022)";"Si";"No ";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"8546";"11822";"14604";"";"";"280571";"";"";"";"1064833";"28248788368336";"731483208375297";"Si";"No";"No";"737";"501";"36";"";"8633";"403";"192";"646";"162";"61";"0";"0";"100";"179.pdf";"Sabaf.Rapporto_annuale_DNF_2022.pdf"
"SAES GROUP";"Electronics";"261109";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"123";"11";"10";"14";"4";"Si";"Si";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK ";"2813";"9006";"4469";"";"";"150136";"";"81916";"";"2436074928";"139811158798283";"382";"Si";"No";"No";"801";"364";"40";"169811320754717";"40";"";"11";"44";"45";"63";"0";"10";"90";"180.pdf";"SAES.Dichiarazione Consolidata di carattere non Finanziario 2022.pdf"
"SAFILO GROUP";"Manufacturing";"325050";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"114";"8";"10";"18";"3";"Si";"Si";"No";"No";"Si (2021-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey ";"4846";"17090";"11491";"";"114747";"222655";"";"123400";"";"5247002";"752521386762719";"691190706679574";"Si";"No";"No";"1796";"2646";"39";"236559139784946";"";"";"10";"66";"24";"";"0";"28";"72";"181.pdf";"SAFILO.DNF_2022_ITA.pdf"
"SAIPEM";"Construction and Engineering";"412000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"110";"9";"19";"23";"5";"Si";"Si";"Si";"Si";"Si (2020-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"UN Global Compact; SASB; TCFD";"UN Global Compact; SASB; TCFD";"Si";"No";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1227500";"26500";"24100";"";"3131600";"17361000";"";"4734800";"";"93883854";"394755536337524";"77";"Si";"No";"No";"28939";"3438";"444444444444444";"21";"8646";"";"163881767921673";"724063378324119";"181610402446181";"";"0";"23";"77";"182.pdf";"Saipem.DNFIta22.pdf"
"SALCEF GROUP SPA";"Construction and Engineering";"4212000";"";"Lazio";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"191";"5";"43";"40";"5";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"UN Global Compact; SASB; TCFD";"UN Global Compact; SASB; TCFD";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"16808";"1254";"1591";"";"18576";"254617";"";"38180";"24000";"915580877";"127782834850455";"";"Si";"No";"No";"1437";"101";"4286";"6";"5838";"";"175";"554";"271";"";"0";"1429";"8571";"183.pdf";"Salcef-Group_Bilancio-Integrato-2022.pdf"
"SALVATORE FERRAGAMO";"Textile";"152010";"";"Toscana";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"120";"9";"12";"43";"6";"No";"No";"Si";"Si";"Si (2021-2022)";"No";"Si";"Si";"Si";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1122";"11952";"10256";"";"269793";"130127";"";"36700";"";"80667142";"609138381201044";"605";"Si";"No";"No";"1288";"2542";"40";"";"74";"";"176";"665";"159";"";"0";"10";"90";"184.pdf";"SalvatoreFerragamo.Annual-report-2022-DNF.pdf"
"SANLORENZO SPA";"Nautical";"301200";"";"Liguria";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"220";"12";"23";"24";"6";"Si";"Si";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"UN Global Compact";"UN Global Compact";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"339911";"399626";"380616";"";"";"1002116";"";"86590";"460";"40045536921";"146616884816754";"8417";"Si";"No";"No";"552";"212";"45";"";"8986";"407";"214659685863874";"544502617801047";"240837696335079";"";"909090909090909";"363636363636364";"545454545454545";"185.pdf";"SANLORENZO.DNF_2022_ITA.pdf"
"SARA ASSICURAZIONI";"Financial Services";"651200";"";"Lazio";"Si";"Servizi-Finanziari";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"85";"9";"4";"17";"2";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"518";"443";"";"";"";"134422";"";"7605";"";"";"153514376996805";"289";"Si";"No";"No";"371";"255";"40";"95";"9039";"";"271565495207668";"402555910543131";"570287539936102";"";"0";"20";"80";"186.pdf";"Saraassicurazioni.bilancio_consolidato_e_dnf_2022.pdf"
"SARAS";"Oil and Gas";"192010";"";"Sardegna";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"222";"14";"58";"61";"5";"Si";"Si";"No";"No";"Si (2019-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"6104895";"284128";"499794";"";"41904255";"55317914";"";"66648858";"22434927";"64731027";"437107677664975";"";"Si";"No";"No";"1373";"203";"235";"18";"8557";"46";"5";"61";"35";"56";"0";"4";"8";"187.pdf";"SARAS.bilancio-di-sostenibilita-2022_ita_finale.pdf"
"SEA";"Logistics and Transport";"522300";"";"Lombardia";"Si";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"182";"29";"20";"68";"8";"Si";"Si";"Si";"Si";"Si (2020-2021)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"128637";"21766";"27735";"";"676209";"2020162";"";"3891000";"";"7118726";"7541828959";"523";"Si";"Si";"Si";"1646";"716";"4285714286";"1304347826";"986088061";"";"1185436071";"3806096528";"6075359865";"";"0";"43";"57";"189.pdf";"SEA-SustainabilityReport2022-ITA.pdf"
"SECO SPA";"Manufacturing";"2612";"";"Toscana";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"161";"29";"19";"50";"21";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey ";"311";"1495";"1180";"";"";"17861";"";"11302";"";"123602167";"365483476";"7665";"Si";"No";"No";"562";"255";"40";"146341463";"";"";"26927785";"54075775";"15422277";"";"0";"30";"70";"190.pdf";"SECO_DNF_2022-ITA.pdf"
"SERI INDUSTRIAL SPA";"Manufacturing";"642000";"";"Campania";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"138";"26";"14";"23";"29";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"";"3462";"16114";"22078";"";"";"260851";"";"";"72863";"22130002";"5850280899";"8395595354";"No";"No";"No";"567";"145";"40";"0";"";"";"8";"52";"40";"512";"10";"50";"40";"191.pdf";"Seri industrial spa - dnf 2022.pdf"
"SERVIZITALIA";"Services";"960110";"";"Emilia Romagna";"Si";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"149";"17";"25";"48";"15";"Si";"No";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"36727";"10939";"8148";"";"6053";"177050";"";"1842000";"";"3224261";"1570897833";"5737632587";"Si";"No";"No";"1492";"2061";"43";"1666667";"";"";"16";"54";"31";"";"0";"29";"71";"194.pdf";"SI_DNF_22_Italiano_compressed.pdf"
"SESA";"Services";"692010";"";"Toscana";"No";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"59";"12";"7";"15";"3";"Si";"Si";"No";"No";"Si (2019-2022)";"Si";"No";"Si";"Si";"No";"Si";"With reference to";"UN Global Compact";"UN Global Compact";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"463884";"3430";"768";"";"";"39265";"";"26374";"";"173063";"1240691809";"";"Si";"No";"No";"2821";"1342";"40";"";"9126";"";"22";"52";"26";"55";"0";"10";"90";"192.pdf";"SeSa - relazione annuale integrata 2022.pdf"
"SIT GROUP SPA";"Electronics";"265129";"";"Veneto";"Si";"Societa-azioni-quotate";"BIlancio-di-Sostenibilita";"Report-separato";"180";"14";"40";"55";"23";"Si";"Si";"Si";"Si";"Si (2021-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"4814";"11107";"14077";"";"";"208843";"";"138200";"";"422655919";"127705406555981";"7655431534";"Si";"No";"No";"973";"1376";"43";"9523809524";"";"";"177948063";"5342699021";"2877820349";"";"0";"0";"100";"193.pdf";"SitGroup - DCNF 2022.pdf"
"SMAT";"Utilities";"360000";"";"Piemonte";"Si";"Altro-EIPR-obbligato";"BIlancio-di-Sostenibilita";"Report-separato";"232";"27";"55";"41";"31";"No";"No";"Si ";"No";"Si (2020-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"80079";"232";"";"";"36316";"1128449";"";"";"";"";"78";"53";"Si";"Si";"No";"772";"257";"25";"36";"";"";"14";"37";"49";"";"0";"25";"75";"195.pdf";"SMAT - bilancio_di_sostenibilit"
"SNAITECH";"Services";"631111";"";"Lombardia";"No";"DNF-Volontaria";"BIlancio-di-Sostenibilita";"Report-separato";"144";"31";"14";"45";"4";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"Si";"With reference to";"SASB; UN Global Compact ";"SASB; UN Global Compact ";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"";"159133";"2596";"0";"";"77279";"5873351";"";"39901373";"";"109849731";"436180208333333";"";"No";"No";"No";"527";"433";"4286";"25";"8379572447";"";"3";"68";"29";"52";"0";"43";"57";"196.pdf";"Snaitech-bilancio-di-sostenibilita-2022.pdf"
"SNAM";"Utilities";"701000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"232";"27";"32";"41";"31";"Si";"Si";"Si";"Si";"Si (2019-2022)";"Si";"Si";"Si";"Si";"Si";"Si";"In accordance with";"SASB; TCFD; PAI; WEF";"SASB; TCFD; PAI; WEF";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1485000";"33000";"39000";"";"1338000";"17640700";"";"";"";"1581993101";"4313019391";"";"Si";"Si";"Si";"3013";"597";"44";"197";"9414186725";"";"18";"45";"38";"56";"0";"22";"78";"197.pdf";"SNAM_Relazione_Finanziaria_Annuale_2022.pdf"
"SOCIETA  CATTOLICA DI ASSICURAZIONE SOCIETA  COOPERATIVA (ora ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NULL"
"SOGEFI";"Manufacturing";"642000";"";"Lombardia";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"113";"14";"28";"23";"16";"Si";"Si";"Si";"Si";"Si (2020-2022)";"No";"Si";"Si";"Si";"No";"Si";"In accordance with";"";"";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"574622";"577488";"523741";"";"18337";"19100529";"";"1017000";"256500";"28754893";"3112650446";"";"Si";"No";"No";"3969";"1415";"44";"0";"";"";"16";"56";"27";"";"0";"22";"78";"198.pdf";"SOGEFI - dnf consolidata 2022.pdf"
"SOL";"Chemicals";"201100";"";"Lombardia";"Si";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"112";"17";"15";"36";"13";"No";"No";"Si";"Si";"Si (2021-2022)";"No";"No";"No";"No";"Si";"Si";"In accordance with";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey ";"60040";"";"278650";"";"1702782";"2421464";"";"1533000";"";"9525072";"1027532603";"";"Si";"No";"No";"3450";"2301";"45";"33";"";"";"13";"61";"26";"";"0";"9";"91";"199.pdf";"SOL_Rapporto Sostenibilita 2022-ITA.pdf"
"SOMEC SPA";"Construction and Engineering";"251210";"";"Veneto";"Si";"Societa-azioni-quotate";"DNF";"Report-separato";"130";"31";"24";"42";"28";"No";"No";"No";"No";"Si (2020-2022)";"No";"No";"No";"No";"No";"No";"In accordance with";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"16616";"1582";"11798";"";"";"728727";"";"93141";"";"31750644306";"4866226623";"7692559133";"Si";"No";"No";"706";"203";"20";"7";"";"";"15";"61";"24";"";"0";"0";"100";"200.pdf";"Somec - dnf 2022.pdf"
