ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,COD_FoET2013,DESC_FoET2013,Genere,DOTTORI
2023,01503,"Milano - Universita' commerciale ""Luigi Bocconi""",Lombardia,03,"Social sciences, journalism and information",M,7
2023,01503,"Milano - Universita' commerciale ""Luigi Bocconi""",Lombardia,04,"Business, administration and law",F,6
2023,01503,"Milano - Universita' commerciale ""Luigi Bocconi""",Lombardia,04,"Business, administration and law",M,8
2023,01503,"Milano - Universita' commerciale ""Luigi Bocconi""",Lombardia,05,"Natural sciences, mathematics and statistics",M,4
2023,01502,Milano - Politecnico,Lombardia,02,Arts and humanities,M,1
2023,01502,Milano - Politecnico,Lombardia,05,"Natural sciences, mathematics and statistics",F,19
2023,01502,Milano - Politecnico,Lombardia,05,"Natural sciences, mathematics and statistics",M,44
2023,01502,Milano - Politecnico,Lombardia,07,"Engineering, manufacturing and construction",F,102
2023,01502,Milano - Politecnico,Lombardia,07,"Engineering, manufacturing and construction",M,242
2023,01502,Milano - Politecnico,Lombardia,09,Health and welfare,M,1
2023,01501,Milano - Universita' degli studi,Lombardia,02,Arts and humanities,F,11
2023,01501,Milano - Universita' degli studi,Lombardia,02,Arts and humanities,M,12
2023,01501,Milano - Universita' degli studi,Lombardia,03,"Social sciences, journalism and information",F,15
2023,01501,Milano - Universita' degli studi,Lombardia,03,"Social sciences, journalism and information",M,8
2023,01501,Milano - Universita' degli studi,Lombardia,04,"Business, administration and law",F,13
2023,01501,Milano - Universita' degli studi,Lombardia,04,"Business, administration and law",M,14
2023,01501,Milano - Universita' degli studi,Lombardia,05,"Natural sciences, mathematics and statistics",F,72
2023,01501,Milano - Universita' degli studi,Lombardia,05,"Natural sciences, mathematics and statistics",M,45
2023,01501,Milano - Universita' degli studi,Lombardia,06,Information and Communication Technologies (ICTs),F,2
2023,01501,Milano - Universita' degli studi,Lombardia,06,Information and Communication Technologies (ICTs),M,6
2023,01501,Milano - Universita' degli studi,Lombardia,07,"Engineering, manufacturing and construction",M,1
2023,01501,Milano - Universita' degli studi,Lombardia,08,"Agriculture, forestry, fisheries and veterinary",F,13
2023,01501,Milano - Universita' degli studi,Lombardia,08,"Agriculture, forestry, fisheries and veterinary",M,8
2023,01501,Milano - Universita' degli studi,Lombardia,09,Health and welfare,F,35
2023,01501,Milano - Universita' degli studi,Lombardia,09,Health and welfare,M,18
2023,01202,Varese - Universita' dell' Insubria,Lombardia,02,Arts and humanities,F,3
2023,01202,Varese - Universita' dell' Insubria,Lombardia,03,"Social sciences, journalism and information",M,1
2023,01202,Varese - Universita' dell' Insubria,Lombardia,04,"Business, administration and law",F,5
2023,01202,Varese - Universita' dell' Insubria,Lombardia,04,"Business, administration and law",M,5
2023,01202,Varese - Universita' dell' Insubria,Lombardia,05,"Natural sciences, mathematics and statistics",F,13
2023,01202,Varese - Universita' dell' Insubria,Lombardia,05,"Natural sciences, mathematics and statistics",M,11
2023,01202,Varese - Universita' dell' Insubria,Lombardia,06,Information and Communication Technologies (ICTs),M,2
2023,01202,Varese - Universita' dell' Insubria,Lombardia,07,"Engineering, manufacturing and construction",F,1
2023,01202,Varese - Universita' dell' Insubria,Lombardia,09,Health and welfare,F,4
2023,01202,Varese - Universita' dell' Insubria,Lombardia,09,Health and welfare,M,8
2023,01201,"Castellanza - Universita' ""Carlo Cattaneo""",Lombardia,03,"Social sciences, journalism and information",F,1
2023,01201,"Castellanza - Universita' ""Carlo Cattaneo""",Lombardia,03,"Social sciences, journalism and information",M,1
2023,01201,"Castellanza - Universita' ""Carlo Cattaneo""",Lombardia,04,"Business, administration and law",F,2
2023,01201,"Castellanza - Universita' ""Carlo Cattaneo""",Lombardia,04,"Business, administration and law",M,2
2023,01201,"Castellanza - Universita' ""Carlo Cattaneo""",Lombardia,07,"Engineering, manufacturing and construction",F,1
2023,01001,Genova - Universita' degli studi,Liguria,01,Education,F,2
2023,01001,Genova - Universita' degli studi,Liguria,02,Arts and humanities,F,20
2023,01001,Genova - Universita' degli studi,Liguria,02,Arts and humanities,M,15
2023,01001,Genova - Universita' degli studi,Liguria,03,"Social sciences, journalism and information",F,12
2023,01001,Genova - Universita' degli studi,Liguria,03,"Social sciences, journalism and information",M,3
2023,01001,Genova - Universita' degli studi,Liguria,04,"Business, administration and law",F,7
2023,01001,Genova - Universita' degli studi,Liguria,04,"Business, administration and law",M,19
2023,01001,Genova - Universita' degli studi,Liguria,05,"Natural sciences, mathematics and statistics",F,44
2023,01001,Genova - Universita' degli studi,Liguria,05,"Natural sciences, mathematics and statistics",M,33
2023,01001,Genova - Universita' degli studi,Liguria,06,Information and Communication Technologies (ICTs),F,3
2023,01001,Genova - Universita' degli studi,Liguria,06,Information and Communication Technologies (ICTs),M,10
2023,01001,Genova - Universita' degli studi,Liguria,07,"Engineering, manufacturing and construction",F,34
2023,01001,Genova - Universita' degli studi,Liguria,07,"Engineering, manufacturing and construction",M,59
2023,01001,Genova - Universita' degli studi,Liguria,08,"Agriculture, forestry, fisheries and veterinary",M,2
2023,01001,Genova - Universita' degli studi,Liguria,09,Health and welfare,F,20
2023,01001,Genova - Universita' degli studi,Liguria,09,Health and welfare,M,18
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,02,Arts and humanities,F,2
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,03,"Social sciences, journalism and information",F,1
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,05,"Natural sciences, mathematics and statistics",F,10
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,05,"Natural sciences, mathematics and statistics",M,5
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,09,Health and welfare,F,14
2023,00201,"Vercelli - Universita' degli studi del Piemonte orientale ""A. Avogadro""",Piemonte,09,Health and welfare,M,9
2023,00102,Torino - Politecnico,Piemonte,03,"Social sciences, journalism and information",F,2
2023,00102,Torino - Politecnico,Piemonte,03,"Social sciences, journalism and information",M,2
2023,00102,Torino - Politecnico,Piemonte,04,"Business, administration and law",F,1
2023,00102,Torino - Politecnico,Piemonte,04,"Business, administration and law",M,1
2023,00102,Torino - Politecnico,Piemonte,05,"Natural sciences, mathematics and statistics",F,11
2023,00102,Torino - Politecnico,Piemonte,05,"Natural sciences, mathematics and statistics",M,25
2023,00102,Torino - Politecnico,Piemonte,07,"Engineering, manufacturing and construction",F,73
2023,00102,Torino - Politecnico,Piemonte,07,"Engineering, manufacturing and construction",M,145
2023,00102,Torino - Politecnico,Piemonte,08,"Agriculture, forestry, fisheries and veterinary",F,1
2023,00101,Torino - Universita' degli studi,Piemonte,01,Education,M,1
2023,00101,Torino - Universita' degli studi,Piemonte,02,Arts and humanities,F,4
2023,00101,Torino - Universita' degli studi,Piemonte,02,Arts and humanities,M,2
2023,00101,Torino - Universita' degli studi,Piemonte,03,"Social sciences, journalism and information",F,7
2023,00101,Torino - Universita' degli studi,Piemonte,03,"Social sciences, journalism and information",M,15
2023,00101,Torino - Universita' degli studi,Piemonte,04,"Business, administration and law",F,7
2023,00101,Torino - Universita' degli studi,Piemonte,04,"Business, administration and law",M,8
2023,00101,Torino - Universita' degli studi,Piemonte,05,"Natural sciences, mathematics and statistics",F,18
2023,00101,Torino - Universita' degli studi,Piemonte,05,"Natural sciences, mathematics and statistics",M,20
2023,00101,Torino - Universita' degli studi,Piemonte,06,Information and Communication Technologies (ICTs),M,5
2023,00101,Torino - Universita' degli studi,Piemonte,07,"Engineering, manufacturing and construction",F,4
2023,00101,Torino - Universita' degli studi,Piemonte,07,"Engineering, manufacturing and construction",M,2
2023,00101,Torino - Universita' degli studi,Piemonte,08,"Agriculture, forestry, fisheries and veterinary",F,2
2023,00101,Torino - Universita' degli studi,Piemonte,08,"Agriculture, forestry, fisheries and veterinary",M,1
2023,00101,Torino - Universita' degli studi,Piemonte,09,Health and welfare,F,8
2023,00101,Torino - Universita' degli studi,Piemonte,09,Health and welfare,M,10
2022,09201,Cagliari - Universita' degli studi,Sardegna,01,Education,M,1
2022,09201,Cagliari - Universita' degli studi,Sardegna,02,Arts and humanities,F,6
2022,09201,Cagliari - Universita' degli studi,Sardegna,02,Arts and humanities,M,7
2022,09201,Cagliari - Universita' degli studi,Sardegna,03,"Social sciences, journalism and information",F,3
2022,09201,Cagliari - Universita' degli studi,Sardegna,03,"Social sciences, journalism and information",M,3
2022,09201,Cagliari - Universita' degli studi,Sardegna,04,"Business, administration and law",F,5
2022,09201,Cagliari - Universita' degli studi,Sardegna,04,"Business, administration and law",M,1
2022,09201,Cagliari - Universita' degli studi,Sardegna,05,"Natural sciences, mathematics and statistics",F,15
