ANNO,AteneoCOD,AteneoNOME,AteneoREGIONE,CorsoTIPO,COD_FoET2013,DESC_FoET2013,Genere,ISC
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",M,102
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",F,62
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,7,"Engineering, manufacturing and construction",M,49
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,F,436
2023/2024,08601,"Enna - Libera Universita' della Sicilia Centrale ""KORE""",Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,M,223
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,1,Education,F,727
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,1,Education,M,55
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,F,1178
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,M,405
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",F,2223
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",M,837
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",F,582
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",M,557
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",F,1255
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",M,651
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),F,248
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),M,749
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",F,260
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",M,684
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",F,178
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",M,108
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,F,2422
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,M,1034
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,F,307
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,M,32
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,F,265
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,M,108
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",F,606
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",M,156
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",F,163
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",M,145
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",F,315
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",M,226
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),F,9
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),M,30
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",F,49
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",M,141
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",F,31
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",M,14
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,F,574
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,M,356
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",F,733
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,4,"Business, administration and law",M,381
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",F,291
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,8,"Agriculture, forestry, fisheries and veterinary",M,167
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,F,2426
2023/2024,08301,Messina - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,9,Health and welfare,M,1459
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,1,Education,F,2340
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,1,Education,M,141
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,F,3322
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,2,Arts and humanities,M,1433
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",F,3072
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,3,"Social sciences, journalism and information",M,1983
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",F,690
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,4,"Business, administration and law",M,826
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",F,1279
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,5,"Natural sciences, mathematics and statistics",M,971
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),F,42
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,6,Information and Communication Technologies (ICTs),M,356
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",F,1396
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,7,"Engineering, manufacturing and construction",M,3829
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",F,262
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,8,"Agriculture, forestry, fisheries and veterinary",M,546
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,F,1917
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea,9,Health and welfare,M,894
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,F,592
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,1,Education,M,34
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,F,1061
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,2,Arts and humanities,M,400
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",F,1174
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,3,"Social sciences, journalism and information",M,389
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",F,156
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,4,"Business, administration and law",M,132
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",F,376
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,5,"Natural sciences, mathematics and statistics",M,268
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),F,4
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,6,Information and Communication Technologies (ICTs),M,20
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",F,547
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,7,"Engineering, manufacturing and construction",M,1229
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",F,81
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,8,"Agriculture, forestry, fisheries and veterinary",M,146
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,F,331
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale,9,Health and welfare,M,235
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,1,Education,F,1708
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,1,Education,M,113
2023/2024,08201,Palermo - Universita' degli studi,Sicilia,Laurea Magistrale Ciclo Unico,2,Arts and humanities,F,58
